Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound_lap,TyreLife,FreshTyre,Team,Position,LapTimeSeconds_lap,TrackTemp,AirTemp,Humidity,WindSpeed
0 days 01:12:32.989000,HUL,27,0 days 00:01:40.043000,8,1,,,False,MEDIUM,8,True,Kick Sauber,18,100.043,35.4,27.5,17.0,2.8
0 days 01:12:56.444000,BOR,5,0 days 00:01:39.052000,8,2,,,False,HARD,7,True,Kick Sauber,19,99.052,35.4,27.5,17.0,2.8
0 days 01:13:44.401000,PIA,81,0 days 00:01:38.199000,9,1,,,False,MEDIUM,9,True,McLaren,1,98.199,35.3,27.5,18.0,2.3
0 days 01:13:46.147000,NOR,4,0 days 00:01:38.514000,9,1,,,False,MEDIUM,9,True,McLaren,2,98.514,35.3,27.5,18.0,2.3
0 days 01:13:48.284000,RUS,63,0 days 00:01:38.557000,9,1,,,False,MEDIUM,9,True,Mercedes,3,98.557,35.3,27.5,18.0,2.3
0 days 01:13:50.107000,HAM,44,0 days 00:01:38.560000,9,1,,,False,MEDIUM,9,True,Ferrari,4,98.56,35.3,27.5,18.0,2.3
0 days 01:13:50.851000,LEC,16,0 days 00:01:38.592000,9,1,,,False,MEDIUM,9,True,Ferrari,5,98.592,35.3,27.5,18.0,2.3
0 days 01:13:55.250000,VER,1,0 days 00:01:39.229000,9,1,,,False,MEDIUM,9,True,Red Bull Racing,6,99.229,35.3,27.5,18.0,2.3
0 days 01:13:56.859000,ANT,12,0 days 00:01:39.284000,9,1,,,False,MEDIUM,9,True,Mercedes,7,99.284,35.3,27.5,18.0,2.3
0 days 01:13:58.706000,TSU,22,0 days 00:01:39.293000,9,1,,,False,MEDIUM,9,True,Racing Bulls,8,99.293,35.3,27.5,18.0,2.3
0 days 01:13:59.926000,HAD,6,0 days 00:01:39.249000,9,1,,,False,MEDIUM,9,True,Racing Bulls,9,99.249,35.3,27.5,18.0,2.3
0 days 01:14:00.741000,OCO,31,0 days 00:01:39.336000,9,1,,,False,MEDIUM,9,True,Haas F1 Team,10,99.336,35.3,27.5,18.0,2.3
0 days 01:14:01.582000,ALB,23,0 days 00:01:39.523000,9,1,,,False,MEDIUM,9,True,Williams,11,99.523,35.3,27.5,18.0,2.3
0 days 01:14:02.307000,GAS,10,0 days 00:01:39.380000,9,1,,,False,MEDIUM,9,False,Alpine,12,99.38,35.3,27.5,18.0,2.3
0 days 01:14:03.090000,STR,18,0 days 00:01:39.172000,9,1,,,False,HARD,9,True,Aston Martin,13,99.172,35.3,27.5,18.0,2.3
0 days 01:14:04.017000,SAI,55,0 days 00:01:39.237000,9,1,,,False,MEDIUM,9,True,Williams,14,99.237,35.3,27.5,18.0,2.3
0 days 01:14:06.128000,BEA,87,0 days 00:01:39.354000,9,1,,,False,HARD,9,True,Haas F1 Team,15,99.354,35.3,27.5,18.0,2.3
0 days 01:14:07.051000,DOO,7,0 days 00:01:39.531000,9,1,,,False,MEDIUM,9,False,Alpine,16,99.531,35.3,27.5,18.0,2.3
0 days 01:14:08.037000,LAW,30,0 days 00:01:39.743000,9,1,,,False,HARD,9,True,Red Bull Racing,17,99.743,35.3,27.5,18.0,2.3
0 days 01:14:13.031000,HUL,27,0 days 00:01:40.042000,9,1,,,False,MEDIUM,9,True,Kick Sauber,18,100.042,35.3,27.5,18.0,2.3
0 days 01:14:35.341000,BOR,5,0 days 00:01:38.897000,9,2,,,False,HARD,8,True,Kick Sauber,19,98.897,35.3,27.5,18.0,2.2
0 days 01:15:22.395000,PIA,81,0 days 00:01:37.994000,10,1,,,False,MEDIUM,10,True,McLaren,1,97.994,35.0,27.5,17.0,3.2
0 days 01:15:24.463000,NOR,4,0 days 00:01:38.316000,10,1,,,False,MEDIUM,10,True,McLaren,2,98.316,35.0,27.5,17.0,3.2
0 days 01:15:26.722000,RUS,63,0 days 00:01:38.438000,10,1,,,False,MEDIUM,10,True,Mercedes,3,98.438,35.0,27.5,17.0,3.2
0 days 01:15:28.673000,HAM,44,0 days 00:01:38.566000,10,1,,,False,MEDIUM,10,True,Ferrari,4,98.566,35.0,27.5,17.0,3.2
0 days 01:15:29.412000,LEC,16,0 days 00:01:38.561000,10,1,,,False,MEDIUM,10,True,Ferrari,5,98.561,35.0,27.5,17.0,3.2
0 days 01:15:34.314000,VER,1,0 days 00:01:39.064000,10,1,,,False,MEDIUM,10,True,Red Bull Racing,6,99.064,35.0,27.5,17.0,3.2
0 days 01:15:36.057000,ANT,12,0 days 00:01:39.198000,10,1,,,False,MEDIUM,10,True,Mercedes,7,99.198,35.0,27.5,17.0,3.2
